,User_Id,Place_Id,Place_Ratings
0,1,96,5
1,1,103,5
2,1,229,5
3,1,216,5
4,1,108,4
5,1,337,5
6,1,344,4
7,1,213,5
8,1,6,1
9,1,93,5
10,1,1,5
11,1,7,5
12,1,111,1
13,1,275,4
14,1,236,2
15,1,104,4
16,1,220,5
17,1,311,5
18,1,184,5
19,1,225,5
20,1,17,5
21,1,72,5
22,1,100,4
23,1,183,5
24,1,168,5
25,1,386,5
26,1,389,4
27,1,404,5
28,1,121,5
29,1,81,5
30,1,408,5
31,1,388,3
32,1,26,4
33,1,33,3
34,2,254,4
35,2,182,4
36,2,375,5
37,2,130,5
38,2,227,5
39,2,92,5
40,2,86,5
41,2,60,4
42,2,354,5
43,2,30,5
44,2,6,5
45,2,216,5
46,2,215,5
47,2,408,2
48,2,57,5
49,2,206,4
50,2,430,4
51,2,4,4
52,2,230,5
53,2,48,5
54,2,431,5
55,2,387,4
56,2,228,5
57,2,237,4
58,2,3,5
59,2,338,4
60,2,90,5
61,2,311,4
62,2,262,5
63,2,434,5
64,3,408,5
65,3,103,5
66,3,92,5
67,3,6,5
68,3,434,4
69,3,174,5
70,3,220,1
71,3,170,5
72,3,226,4
73,3,175,5
74,3,93,5
75,3,3,5
76,3,179,4
77,3,371,4
78,3,128,4
79,3,80,5
80,3,1,5
81,3,137,4
82,3,104,5
83,3,216,5
84,3,338,5
85,3,228,4
86,3,364,3
87,3,227,5
88,3,121,5
89,3,90,5
90,3,224,5
91,3,425,3
92,3,247,5
93,3,112,2
94,4,50,5
95,4,408,4
96,4,434,1
97,4,56,4
98,4,1,5
99,4,183,5
100,4,419,4
101,4,174,5
102,4,254,4
103,4,338,4
104,4,80,5
105,4,7,5
106,4,90,5
107,4,392,1
108,4,86,5
109,4,103,5
110,4,112,5
111,4,227,5
112,4,87,4
113,4,373,5
114,4,104,4
115,4,222,5
116,4,402,4
117,4,436,5
118,4,3,5
119,4,17,5
120,4,220,5
121,4,259,4
122,4,27,5
123,4,92,5
124,4,128,5
125,5,17,5
126,5,179,5
127,5,117,5
128,5,92,5
129,5,104,4
130,5,428,5
131,5,232,4
132,5,365,4
133,5,434,4
134,5,2,5
135,5,234,4
136,5,355,5
137,5,3,5
138,5,413,5
139,5,279,5
